objectId,CV_probability_RS_12,CV_probability_RS_24,CV_probability_RS_32,CV_probability_RS_42,CV_probability_RS_58,CV_probability_RS_12_1,finkclass,number_of_files,common_in_files
ZTF17aaaadkj,0.98139703,0.987186,0.996101,0.98219484,0.99348915,0.99797446,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18adjrnpa,0.99740845,0.92630523,0.9923639,0.99023134,0.9825882,0.9758546,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18adnclwb,0.9717603,0.9986437,0.999308,0.9948061,0.999841,0.9982052,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18admqnex,0.97602284,0.99656576,0.9982418,0.9954203,0.99961746,0.9907465,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18admkrak,0.9940813,0.921757,0.9968861,0.98957765,0.94685984,0.9814291,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18admgyam,0.99307996,0.99450713,0.99087805,0.98951995,0.9914083,0.9966454,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18admftfr,0.98794764,0.9437852,0.9878578,0.9966415,0.99389994,0.9930529,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18admesgz,0.9887694,0.9651559,0.9920006,0.98438257,0.9729944,0.9910749,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18admeghs,0.99835664,0.99068135,0.9941247,0.9954743,0.9984301,0.9973979,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abtlkco,0.99622786,0.99888784,0.9996666,0.99849355,0.99508566,0.99824846,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abtmzoi,0.99307996,0.99450713,0.99087805,0.98951995,0.9914083,0.9966454,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18adkgpbo,0.9981956,0.9866794,0.9981723,0.9992107,0.97698385,0.994632,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18adjcgck,0.99224114,0.9921463,0.9947916,0.9986082,0.99874216,0.99532866,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aaaheqt,0.99763,0.9098835,0.9395433,0.9015556,0.9752823,0.9864124,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18adfapdv,0.9921881,0.901214,0.96065617,0.9910426,0.9738546,0.9838668,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abucowm,0.9698602,0.94680274,0.9358693,0.962422,0.95126396,0.9068974,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18adaygsx,0.9955526,0.98168427,0.96106,0.98874485,0.9639608,0.9880953,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18adalbvx,0.98545384,0.99799454,0.9971776,0.93371516,0.9981998,0.99846363,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18adakztt,0.99232507,0.9939215,0.99049896,0.9797182,0.996557,0.99449015,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aczdnsx,0.99666315,0.94540894,0.99489105,0.98776835,0.998486,0.9715955,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abuhqfi,0.99840933,0.99585885,0.99954164,0.9957203,0.9946812,0.99802715,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acyutkw,0.97734857,0.9858882,0.99634165,0.99429286,0.9955949,0.9971468,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acwycwi,0.99147975,0.9705837,0.9756447,0.92161775,0.96023816,0.9793396,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abuipoy,0.97767067,0.97380143,0.9934769,0.9290641,0.99904794,0.9389236,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aadfdfp,0.9801074,0.92059886,0.9551001,0.9984195,0.99827194,0.99850476,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abtgioa,0.96992594,0.99507266,0.9960478,0.9966613,0.99730456,0.9987109,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18adnjjcs,0.96992594,0.99507266,0.9960478,0.9966613,0.99730456,0.9987109,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18adonnra,0.97137284,0.9769273,0.9971187,0.9910842,0.9880342,0.9961784,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF19aadqmrg,0.99075294,0.9984419,0.99596417,0.98769367,0.99610233,0.99824524,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF19aadoqcb,0.9992285,0.9954615,0.99420184,0.9905364,0.9915059,0.99819994,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF19aacsznr,0.98686105,0.95781314,0.9408525,0.9441598,0.9552175,0.98555285,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abraeev,0.98784536,0.9879602,0.9199511,0.99191535,0.9995981,0.9968802,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF19aachvbn,0.99076885,0.9983517,0.99878675,0.9948591,0.9948679,0.9974606,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abscjio,0.9717603,0.9986437,0.999308,0.9948061,0.999841,0.9982052,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aaclmvx,0.9954834,0.97858834,0.9973387,0.9939167,0.9991442,0.9985379,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abshook,0.99696606,0.9700842,0.9924826,0.9883719,0.98763996,0.9907246,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aacmhee,0.9954834,0.97858834,0.9973387,0.9939167,0.9991442,0.9985379,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF19aaaofsw,0.9862601,0.98316514,0.9960269,0.9967963,0.9974565,0.9099022,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18absqfjl,0.9967469,0.983733,0.9978399,0.9708284,0.98887324,0.9764168,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aacqkto,0.9548464,0.97963834,0.9855216,0.92733014,0.9693127,0.9750152,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF19aaacqia,0.91897935,0.9965714,0.9959604,0.95851225,0.9994599,0.99454355,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF19aaacqaf,0.91897935,0.9965714,0.9959604,0.95851225,0.9994599,0.99454355,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aacuafj,0.989626,0.98005635,0.9873103,0.9801301,0.977541,0.99561405,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aacucfy,0.97529787,0.9958299,0.99803203,0.9379023,0.99406177,0.99651575,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aacumib,0.9718036,0.91382396,0.9669093,0.99343586,0.9883295,0.9810698,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF19aaacbdv,0.9970739,0.988605,0.9987562,0.9990489,0.9966536,0.9923597,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abtdyju,0.923722,0.9570043,0.97010076,0.9696955,0.9978204,0.99778533,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18adppazu,0.99511707,0.9975152,0.99830014,0.989475,0.9987112,0.9967361,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18adorebv,0.99893063,0.99628395,0.99950004,0.99922776,0.9983608,0.99802554,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aaaegeh,0.997981,0.9944547,0.9958003,0.99746346,0.99642473,0.9945943,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acwevfv,0.99560094,0.99896693,0.9966223,0.98421246,0.99720734,0.99908483,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF19aaedvik,0.98460984,0.95368546,0.95133907,0.99736446,0.9955537,0.9791878,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aabiamf,0.9209808,0.9743361,0.9981351,0.9885959,0.9988331,0.98403615,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acnlsiu,0.98453563,0.9326206,0.9965133,0.9091239,0.90904427,0.9512312,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aabfqtp,0.97214633,0.99510264,0.97748214,0.9413763,0.94242513,0.9983865,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abvzkly,0.9811013,0.95696044,0.99548894,0.9737181,0.99921834,0.9740791,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aciberz,0.980034,0.92142165,0.998475,0.9674522,0.9984869,0.9743155,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acfzgyy,0.9907767,0.9590978,0.9780392,0.95966035,0.9420517,0.9757023,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aceyzdu,0.9772634,0.9379223,0.98467004,0.92707586,0.9172513,0.9475409,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aceljyy,0.99893063,0.99628395,0.99950004,0.99922776,0.9983608,0.99802554,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acecect,0.97137284,0.9769273,0.9971187,0.9910842,0.9880342,0.9961784,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acebhoz,0.9958586,0.9807278,0.9976514,0.9502295,0.9987845,0.9882135,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abwcaoz,0.9931457,0.9576663,0.99126434,0.9542824,0.9958639,0.97433144,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acdvwxp,0.9955823,0.9962393,0.99413186,0.99752384,0.998898,0.99542,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aabpzjg,0.9067209,0.97813886,0.91340166,0.98288226,0.96728057,0.96615934,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aabiixt,0.9984798,0.94688004,0.9169792,0.92001706,0.98128307,0.991983,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
