vsx,objectId,CV_probability_RS_12,CV_probability_RS_24,CV_probability_RS_32,CV_probability_RS_42,CV_probability_RS_58,CV_probability_RS_12_1,finkclass,number_of_files,common_in_files
DQ/UG:/DQ,ZTF17aaaadkj,0.9973986,0.99659306,0.9969543,0.9854037,0.99886405,0.9951911,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
UGSU/Unknown,ZTF17aaaagyq,0.9296277,0.9505098,0.96880597,0.9522011,0.9032283,0.92472893,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
UGSU/Unknown,ZTF17aaaazob,0.9040651,0.9623,0.9896062,0.9962101,0.97136253,0.9871115,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
AM|DQ/Unknown,ZTF17aaabavb,0.9971898,0.9928444,0.9876337,0.99290174,0.994739,0.9977841,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
UGSU,ZTF17aaadasj,0.9957865,0.9984989,0.9995536,0.99094677,0.99979097,0.99735045,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
AM:/Unknown,ZTF17aaaehqt,0.9822943,0.9522874,0.92749685,0.99071735,0.973291,0.94448173,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
CV/UG,ZTF17aaaeslm,0.99875844,0.99726534,0.9968966,0.9870804,0.9988889,0.9991253,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
UGSU+E/Unknown,ZTF17aaafglk,0.9546036,0.9856558,0.9875709,0.9914328,0.9964562,0.9956958,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
AGN:/Unknown,ZTF17aaagywy,0.99779415,0.9984647,0.9989936,0.9969434,0.99818915,0.99886227,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
CV+E/UG+E/Unknown,ZTF17aaaiwfl,0.99392986,0.9955332,0.99799037,0.9968207,0.99419713,0.9982893,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
AM:+E,ZTF17aaaizeq,0.99866676,0.99635196,0.9965485,0.9988827,0.999328,0.998478,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
