objectId,ra,dec
ZTF17aaatdnl,92.57018252,20.40716763
ZTF18aaawejy,98.22172485,15.48506976
ZTF18aaphvtk,92.92643585,19.47039002
ZTF18aawadfc,282.3955775,15.13922839
ZTF18aawccls,291.687113,11.37864493
ZTF18aawkwln,281.5963487,13.87412496
ZTF18aawsqdu,288.5012795,13.41383483
ZTF18aawvavc,284.0626821,14.00280012
ZTF18aaxalgo,288.3332183,13.22839928
ZTF18aaxcytk,293.5644362,14.8675523
ZTF18aaxlsvs,287.5920482,10.8474452
ZTF18aaydzuy,286.8848961,11.50638446
ZTF18aayebhe,285.59241,13.21796371
ZTF18aayefcb,283.3282228,12.41944331
ZTF18aayeikq,281.4040684,11.45754978
ZTF18aayejlw,283.2938343,10.99387137
ZTF18aayhflo,293.2749316,15.19772814
ZTF18aaynwyd,286.6631001,13.12334938
ZTF18aaynzod,285.621453,10.61520127
ZTF18aayofnd,285.7351714,12.1531854
ZTF18aayogve,285.3835081,14.44034802
ZTF18aayowtq,293.5271813,14.47804581
ZTF18aayuwnw,285.8671833,10.30695627
ZTF18aayuxxm,283.1027091,11.48566413
ZTF18aayuyfz,283.8706609,9.281018989
ZTF18aayvcng,294.4701001,9.468115339
ZTF18aayvfwv,285.4530911,13.41925023
ZTF18aayvxuc,287.9919728,10.11001331
ZTF18aazeyws,295.3744406,9.002689978
ZTF18aazeyyp,295.5902799,9.118855405
ZTF18aazfako,294.3120395,15.29925537
ZTF18aazfdzp,292.2817116,12.67076727
ZTF18aazlvoc,285.2618414,11.58087611
ZTF18aazmvdb,289.3426321,11.39948941
ZTF18aazmxvk,294.9843413,11.44697131
ZTF18aazsmrd,291.2216725,14.96792469
ZTF18aazukzz,284.1350039,8.446100864
ZTF18aazunhh,286.5527654,13.13100167
ZTF18aazuoco,286.2133979,10.46828019
ZTF18aazutqv,295.2319848,12.61949326
ZTF18ababxbs,282.703941,10.68169887
ZTF18abaclcb,294.5770217,10.8402442
ZTF18abajgaf,286.1211287,13.97164846
ZTF18abapyih,290.5601887,14.40229992
ZTF18abarbuj,285.7076113,10.64618451
ZTF18abarqud,295.168206,11.23847868
ZTF18abayitr,288.0961857,14.65292412
ZTF18abbegvz,283.2969607,10.74575959
ZTF18abbknpf,288.6009007,8.659359757
ZTF18abblhbz,288.527155,13.5144508
ZTF18abcnssb,282.7447037,8.861574081
ZTF18abdksvt,286.5269872,14.78310712
ZTF18abdonid,281.2516811,8.936325674
ZTF18abeberb,293.3698352,14.05983819
ZTF18abebfrv,287.449379,11.22026432
ZTF18abebnam,284.2530298,10.56426105
ZTF18abebnan,284.0921821,10.26647578
ZTF18abfrpwy,287.41997,13.94349332
ZTF18abgkcsb,283.8632901,9.421429652
ZTF18abgzget,285.5607632,12.88540805
ZTF18abhnvjm,288.9098488,14.29265848
ZTF18abibsdm,286.9247283,14.3255222
ZTF18abicwvc,285.1770561,10.35858546
ZTF18abitmxs,289.3931828,14.68072636
ZTF18abjarsn,287.1282187,12.3698186
ZTF18abjnqlk,286.376231,10.14352555
ZTF18abjskiq,287.3185781,14.26466148
ZTF18ablihrh,286.2669808,10.25027743
ZTF18ablihyd,287.4397294,13.00568416
ZTF18abljtmu,286.4058309,11.97032747
ZTF18ablwzaf,293.3725288,12.0506512
ZTF18abmfbne,292.9263704,8.665943757
ZTF18abmqqss,291.3815672,12.50387195
ZTF18abnpasd,284.4515429,12.25844503
ZTF18abpbzau,287.1926611,14.11829069
ZTF18abruwsp,285.5664592,12.4786764
ZTF18abuqnbq,92.08559606,15.41750491
ZTF18abyvokd,290.2961141,8.531431284
ZTF18acvdodb,98.11166655,22.58359659
ZTF18adjmytm,281.5889648,14.96814217
ZTF18adjmyuc,281.9507339,15.43761476
ZTF18adqfxvw,294.7942854,8.505240286
ZTF19abnvcob,294.6085392,12.23296972
ZTF19acysnbi,92.78866375,19.98278465
ZTF20aanlcog,294.1299883,8.104880962
ZTF20aazltci,288.5688456,15.03671221
ZTF20aazolav,286.3364794,15.47556993
ZTF20abefurg,289.2648559,15.26425616
ZTF21aaymcun,286.2780082,11.51852785
ZTF17aacsfer,97.12273621,18.21033788
ZTF17aadsymi,95.4308917,21.75095021
ZTF18aagqgmb,94.50599403,17.51999375
ZTF18aagqgwj,92.38485411,22.55744819
ZTF18aavelwh,287.4060924,15.26438844
ZTF18aavepza,300.0630364,22.53233575
ZTF18aavyoqq,281.5498489,13.93895782
ZTF18aavyqob,288.0794437,12.72520902
ZTF18aawacgf,287.0083861,13.91167304
ZTF18aawacwv,287.3945035,15.07973302
ZTF18aawkneh,288.296409,14.92549676
ZTF18aawkxgr,287.5372025,14.21183161
ZTF18aaxdkrf,284.4329045,12.30968279
ZTF18aaxdksc,287.4574941,12.9446621
ZTF18aaxlpet,285.3647881,9.698740959
ZTF18aaxltdi,285.5709622,13.00806768
ZTF18aaxltdr,285.7718684,12.90821417
ZTF18aaxpnzv,285.5807263,13.53937988
ZTF18aaxpoei,284.3275041,14.15421529
ZTF18aaxyplg,290.7506736,12.80267105
ZTF18aaxythv,286.1056329,11.40362918
ZTF18aaxytxi,284.560755,14.33686749
ZTF18aaxyuvy,286.3711193,14.49842998
ZTF18aaydaqf,292.0628901,14.25846907
ZTF18aayedxt,284.7787459,11.62522924
ZTF18aayeecc,284.1092112,11.47742295
ZTF18aayefaw,283.6012985,12.22202932
ZTF18aayeikh,281.3334034,11.5842107
ZTF18aayoasu,283.1497754,9.499741173
ZTF18aayobfa,281.8383535,13.26843465
ZTF18aayobqz,286.614084,14.93467487
ZTF18aayoemt,286.2611072,13.80701151
ZTF18aayoexu,285.3083411,10.85423843
ZTF18aayogww,285.5090237,13.91457466
ZTF18aaypaqv,288.5332112,15.05204876
ZTF18aaypeqw,281.1745001,13.97302333
ZTF18aayvbdt,294.7105451,14.98297087
ZTF18aayvern,284.6485407,12.75094569
ZTF18aayvgas,283.2872616,10.63120232
ZTF18aayvkjg,295.6299073,11.57284041
ZTF18aaywchh,286.2515014,9.066979891
ZTF18aazdixg,285.5921119,14.27111003
ZTF18aazdnxr,282.1318449,11.90598875
ZTF18aazezop,294.0997362,8.842794145
ZTF18aazmxof,292.4318425,8.060859814
ZTF18ababltr,282.3098553,8.837145486
ZTF18ababmxv,286.4884803,13.95361133
ZTF18abahtli,286.2819134,9.407178023
ZTF18abajbti,292.4218612,8.469368304
ZTF18abardai,284.4755726,13.17152277
